"sub"	"RT"	"correct"	"category"	"condition"	"conditionName"	"repeatDist"	"targetItem"	"conditionCheck"	"categoryNum"	"phase"	"test"	"conditionNum"	"indivCountC1"	"indivCountC2"	"indivCountC3"	"indivCountC4"
"52"	"1"	1286	1	"Objects"	2	"mixed"	0	"24.jpg"	2	2	"SixItems"	6	2	15	14	14	12
"53"	"1"	2158	1	"Animals"	2	"mixed"	0	"10.jpg"	2	1	"SixItems"	6	2	15	14	14	12
"54"	"1"	317	1	"Objects"	1	"uniform"	0	"10.jpg"	1	2	"SixItems"	6	1	15	14	14	12
"55"	"1"	1280	1	"Animals"	1	"uniform"	0	"11.jpg"	1	1	"SixItems"	6	1	15	14	14	12
"56"	"2"	1591	1	"Objects"	2	"mixed"	0	"8.jpg"	2	2	"SixItems"	6	2	8	8	4	5
"57"	"2"	1289	1	"Objects"	1	"uniform"	0	"14.jpg"	1	2	"SixItems"	6	1	8	8	4	5
"58"	"2"	1253	1	"Animals"	2	"mixed"	0	"13.jpg"	2	1	"SixItems"	6	2	8	8	4	5
"59"	"2"	1543	1	"Objects"	1	"uniform"	0	"4.jpg"	1	2	"SixItems"	6	1	8	8	4	5
"60"	"2"	988	1	"Objects"	2	"mixed"	0	"17.jpg"	2	2	"SixItems"	6	2	8	8	4	5
"61"	"2"	2183	1	"Animals"	1	"uniform"	0	"2.jpg"	1	1	"SixItems"	6	1	8	8	4	5
"62"	"2"	1844	1	"Objects"	2	"mixed"	0	"6.jpg"	2	2	"SixItems"	6	2	8	8	4	5
"63"	"2"	2156	1	"Animals"	2	"mixed"	0	"1.jpg"	2	1	"SixItems"	6	2	8	8	4	5
"64"	"2"	1387	1	"Objects"	1	"uniform"	0	"1.jpg"	1	2	"SixItems"	6	1	8	8	4	5
"65"	"2"	2894	1	"Animals"	1	"uniform"	0	"19.jpg"	1	1	"SixItems"	6	1	8	8	4	5
"66"	"2"	1271	1	"Objects"	2	"mixed"	0	"24.jpg"	2	2	"SixItems"	6	2	8	8	4	5
"67"	"2"	1851	1	"Animals"	1	"uniform"	0	"13.jpg"	1	1	"SixItems"	6	1	8	8	4	5
"68"	"2"	921	1	"Objects"	1	"uniform"	0	"7.jpg"	1	2	"SixItems"	6	1	8	8	4	5
"69"	"2"	1257	1	"Animals"	1	"uniform"	0	"11.jpg"	1	1	"SixItems"	6	1	8	8	4	5
"70"	"2"	2592	1	"Objects"	1	"uniform"	0	"3.jpg"	1	2	"SixItems"	6	1	8	8	4	5
"71"	"2"	1325	1	"Objects"	2	"mixed"	0	"19.jpg"	2	2	"SixItems"	6	2	8	8	4	5
"72"	"2"	3811	1	"Animals"	1	"uniform"	0	"1.jpg"	1	1	"SixItems"	6	1	8	8	4	5
"73"	"2"	1088	1	"Objects"	1	"uniform"	0	"11.jpg"	1	2	"SixItems"	6	1	8	8	4	5
"74"	"2"	1504	1	"Animals"	1	"uniform"	0	"22.jpg"	1	1	"SixItems"	6	1	8	8	4	5
"75"	"2"	1596	1	"Objects"	1	"uniform"	0	"5.jpg"	1	2	"SixItems"	6	1	8	8	4	5
"76"	"2"	1219	1	"Animals"	2	"mixed"	0	"24.jpg"	2	1	"SixItems"	6	2	8	8	4	5
"77"	"2"	2022	1	"Objects"	1	"uniform"	0	"12.jpg"	1	2	"SixItems"	6	1	8	8	4	5
"78"	"2"	1731	1	"Animals"	1	"uniform"	0	"17.jpg"	1	1	"SixItems"	6	1	8	8	4	5
"79"	"2"	1312	1	"Animals"	1	"uniform"	0	"12.jpg"	1	1	"SixItems"	6	1	8	8	4	5
"80"	"2"	2010	1	"Animals"	2	"mixed"	0	"9.jpg"	2	1	"SixItems"	6	2	8	8	4	5
"81"	"3"	1638	1	"Animals"	2	"mixed"	0	"13.jpg"	2	1	"SixItems"	6	2	5	8	10	5
"82"	"3"	3895	1	"Objects"	1	"uniform"	0	"8.jpg"	1	2	"SixItems"	6	1	5	8	10	5
"83"	"3"	2798	1	"Animals"	1	"uniform"	0	"2.jpg"	1	1	"SixItems"	6	1	5	8	10	5
"84"	"3"	1980	1	"Animals"	1	"uniform"	0	"13.jpg"	1	1	"SixItems"	6	1	5	8	10	5
"85"	"3"	1214	1	"Animals"	2	"mixed"	0	"24.jpg"	2	1	"SixItems"	6	2	5	8	10	5
"86"	"3"	855	1	"Objects"	1	"uniform"	0	"22.jpg"	1	2	"SixItems"	6	1	5	8	10	5
"87"	"3"	3168	1	"Objects"	1	"uniform"	0	"3.jpg"	1	2	"SixItems"	6	1	5	8	10	5
"88"	"3"	1797	1	"Animals"	1	"uniform"	0	"12.jpg"	1	1	"SixItems"	6	1	5	8	10	5
"89"	"3"	2977	1	"Objects"	2	"mixed"	0	"20.jpg"	2	2	"SixItems"	6	2	5	8	10	5
