sub	RT	correct	category	condition	conditionName	repeatDist	targetItem	categoryNum	phase
2	1646	1	Objects	1	uniform	0	Objects10.jpg	2	SixItems
2	1193	1	Food	1	uniform	0	Food6.jpg	1	SixItems
2	1471	1	Food	2	mixed	0	Food3.jpg	1	SixItems
2	1036	1	Objects	2	mixed	0	Objects8.jpg	2	SixItems
2	5633	0	Objects	2	mixed	0	Objects13.jpg	2	SixItems
2	881	1	Food	1	uniform	0	Food2.jpg	1	SixItems
2	2624	1	Objects	1	uniform	0	Objects11.jpg	2	SixItems
2	1392	1	Food	2	mixed	0	Food1.jpg	1	SixItems
2	2157	1	Objects	2	mixed	0	Objects10.jpg	2	SixItems
2	803	1	Objects	1	uniform	0	Objects13.jpg	2	SixItems
2	1276	1	Food	2	mixed	0	Food18.jpg	1	SixItems
2	2898	1	Food	1	uniform	0	Food4.jpg	1	SixItems
2	2023	1	Food	1	uniform	0	Food20.jpg	1	SixItems
2	1089	1	Food	2	mixed	0	Food14.jpg	1	SixItems
2	1269	1	Objects	2	mixed	0	Objects16.jpg	2	SixItems
2	955	1	Objects	1	uniform	0	Objects15.jpg	2	SixItems
2	1020	1	Objects	1	uniform	0	Objects19.jpg	2	SixItems
2	805	1	Food	1	uniform	0	Food7.jpg	1	SixItems
2	1101	1	Objects	2	mixed	0	Objects14.jpg	2	SixItems
2	4248	1	Food	2	mixed	0	Food4.jpg	1	SixItems
2	2703	1	Objects	1	uniform	0	Objects20.jpg	2	SixItems
2	1036	1	Food	1	uniform	0	Food17.jpg	1	SixItems
2	1435	1	Food	2	mixed	0	Food10.jpg	1	SixItems
2	887	1	Objects	2	mixed	0	Objects18.jpg	2	SixItems
2	921	1	Objects	2	mixed	0	Objects1.jpg	2	SixItems
2	771	1	Food	2	mixed	0	Food15.jpg	1	SixItems
2	1632	1	Objects	1	uniform	0	Objects5.jpg	2	SixItems
3	1807	1	Objects	1	uniform	0	Objects14.jpg	2	ThreeItems
3	1810	1	Food	2	mixed	0	Food1.jpg	1	ThreeItems
3	1321	1	Food	1	uniform	0	Food19.jpg	1	ThreeItems
3	1488	1	Objects	2	mixed	0	Objects8.jpg	2	ThreeItems
3	1495	1	Food	1	uniform	0	Food3.jpg	1	ThreeItems
3	1518	1	Objects	2	mixed	0	Objects10.jpg	2	ThreeItems
3	1224	1	Objects	1	uniform	0	Objects6.jpg	2	ThreeItems
3	1550	1	Food	2	mixed	0	Food12.jpg	1	ThreeItems
3	1343	1	Food	2	mixed	0	Food5.jpg	1	ThreeItems
3	2012	1	Objects	1	uniform	0	Objects18.jpg	2	ThreeItems
3	1669	1	Objects	2	mixed	0	Objects1.jpg	2	ThreeItems
3	2792	1	Food	1	uniform	0	Food18.jpg	1	SixItems
3	1769	1	Objects	1	uniform	0	Objects2.jpg	2	SixItems
3	1934	1	Objects	2	mixed	0	Objects2.jpg	2	SixItems
3	3107	1	Food	1	uniform	0	Food8.jpg	1	SixItems
3	1421	1	Food	2	mixed	0	Food3.jpg	1	SixItems
3	1882	1	Food	1	uniform	0	Food7.jpg	1	SixItems
3	1048	1	Objects	1	uniform	0	Objects1.jpg	2	SixItems
3	1595	1	Food	2	mixed	0	Food7.jpg	1	SixItems
3	1171	1	Objects	2	mixed	0	Objects6.jpg	2	SixItems
3	1674	1	Food	2	mixed	0	Food18.jpg	1	SixItems
3	1337	1	Objects	1	uniform	0	Objects7.jpg	2	SixItems
3	2964	1	Objects	2	mixed	0	Objects19.jpg	2	SixItems
3	2836	1	Food	1	uniform	0	Food14.jpg	1	SixItems
3	5627	0	Objects	2	mixed	0	Objects16.jpg	2	SixItems
3	1668	1	Objects	1	uniform	0	Objects11.jpg	2	SixItems
3	2595	1	Food	1	uniform	0	Food5.jpg	1	SixItems
3	1557	1	Food	2	mixed	0	Food17.jpg	1	SixItems
3	3071	1	Food	1	uniform	0	Food13.jpg	1	SixItems
3	2287	1	Objects	1	uniform	0	Objects3.jpg	2	SixItems
3	2808	1	Food	2	mixed	0	Food9.jpg	1	SixItems
3	1665	1	Objects	2	mixed	0	Objects7.jpg	2	SixItems
3	1203	1	Food	2	mixed	0	Food16.jpg	1	SixItems
3	1120	1	Objects	1	uniform	0	Objects17.jpg	2	SixItems
3	1952	1	Food	1	uniform	0	Food17.jpg	1	SixItems
3	6630	0	Objects	2	mixed	0	Objects15.jpg	2	SixItems
3	2796	1	Food	2	mixed	0	Food6.jpg	1	SixItems
3	1904	1	Objects	2	mixed	0	Objects3.jpg	2	SixItems
3	5364	0	Objects	1	uniform	0	Objects15.jpg	2	SixItems
3	1088	1	Food	1	uniform	0	Food10.jpg	1	SixItems
3	1321	1	Objects	1	uniform	0	Objects12.jpg	2	SixItems
3	4950	0	Objects	2	mixed	0	Objects4.jpg	2	SixItems
3	2454	1	Food	1	uniform	0	Food2.jpg	1	SixItems
3	1866	1	Food	2	mixed	0	Food14.jpg	1	SixItems
3	939	1	Food	2	mixed	0	Food20.jpg	1	SixItems
3	1612	1	Objects	1	uniform	0	Objects5.jpg	2	SixItems
3	2534	0	Objects	2	mixed	0	Objects14.jpg	2	SixItems
3	1771	1	Food	1	uniform	0	Food15.jpg	1	SixItems
3	2518	1	Food	2	mixed	0	Food19.jpg	1	SixItems
3	1864	1	Objects	1	uniform	0	Objects20.jpg	2	SixItems
3	1747	0	Food	1	uniform	0	Food16.jpg	1	SixItems
3	1224	1	Objects	2	mixed	0	Objects5.jpg	2	SixItems
3	1471	1	Objects	2	mixed	0	Objects17.jpg	2	SixItems
3	1570	1	Food	1	uniform	0	Food1.jpg	1	SixItems
3	3148	0	Objects	1	uniform	0	Objects13.jpg	2	SixItems
3	3370	1	Food	2	mixed	0	Food10.jpg	1	SixItems
3	2927	1	Food	1	uniform	0	Food4.jpg	1	SixItems
3	2331	1	Food	2	mixed	0	Food11.jpg	1	SixItems
3	3794	0	Objects	2	mixed	0	Objects12.jpg	2	SixItems
3	1004	1	Objects	1	uniform	0	Objects10.jpg	2	SixItems
3	1511	1	Objects	2	mixed	0	Objects11.jpg	2	SixItems
3	1960	1	Food	2	mixed	0	Food4.jpg	1	SixItems
3	3620	1	Food	1	uniform	0	Food6.jpg	1	SixItems
3	1865	1	Objects	1	uniform	0	Objects9.jpg	2	SixItems
3	3187	0	Objects	1	uniform	0	Objects4.jpg	2	SixItems
3	2010	1	Food	1	uniform	0	Food11.jpg	1	SixItems
3	1826	1	Food	2	mixed	0	Food15.jpg	1	SixItems
3	2101	1	Objects	2	mixed	0	Objects9.jpg	2	SixItems
3	1646	0	Food	2	mixed	0	Food2.jpg	1	SixItems
3	1439	1	Food	1	uniform	0	Food20.jpg	1	SixItems
3	1229	1	Objects	2	mixed	0	Objects20.jpg	2	SixItems
3	1613	1	Objects	1	uniform	0	Objects8.jpg	2	SixItems
3	1186	1	Objects	2	mixed	0	Objects18.jpg	2	SixItems
3	1684	1	Food	2	mixed	0	Food13.jpg	1	SixItems
3	1331	1	Objects	1	uniform	0	Objects19.jpg	2	SixItems
3	2460	1	Food	1	uniform	0	Food12.jpg	1	SixItems
3	6936	0	Objects	2	mixed	0	Objects13.jpg	2	SixItems
3	5995	1	Food	2	mixed	0	Food8.jpg	1	SixItems
3	1186	1	Objects	1	uniform	0	Objects16.jpg	2	SixItems
3	1354	1	Food	1	uniform	0	Food9.jpg	1	SixItems
4	6579	1	Food	2	mixed	0	Food12.jpg	1	ThreeItems
4	2010	1	Food	1	uniform	0	Food11.jpg	1	ThreeItems
4	5052	1	Objects	2	mixed	0	Objects18.jpg	2	ThreeItems
4	2344	1	Objects	1	uniform	0	Objects11.jpg	2	ThreeItems
4	2820	1	Food	1	uniform	0	Food8.jpg	1	ThreeItems
4	4513	1	Food	2	mixed	0	Food5.jpg	1	ThreeItems
4	1678	1	Objects	1	uniform	0	Objects20.jpg	2	ThreeItems
4	1742	1	Objects	2	mixed	0	Objects19.jpg	2	ThreeItems
4	1426	1	Food	2	mixed	0	Food7.jpg	1	ThreeItems
4	1748	1	Food	1	uniform	0	Food10.jpg	1	ThreeItems
4	2093	1	Objects	1	uniform	0	Objects12.jpg	2	ThreeItems
4	1548	1	Objects	2	mixed	0	Objects3.jpg	2	SixItems
4	2507	1	Objects	1	uniform	0	Objects3.jpg	2	SixItems
4	1922	1	Food	2	mixed	0	Food1.jpg	1	SixItems
4	2032	1	Objects	2	mixed	0	Objects8.jpg	2	SixItems
4	1799	1	Food	1	uniform	0	Food15.jpg	1	SixItems
