sub	RT	condition	conditionName	correct	category	repeatDist	conditionCheck	categoryNum	phase	test
3	3001	2	mixed	0	SmallFam	0	2	2	SixItems	6
3	1346	2	mixed	1	BigFam	0	2	1	SixItems	6
3	834	1	uniform	0	SmallFam	0	1	2	SixItems	6
3	1536	1	uniform	1	BigFam	0	1	1	SixItems	6
3	1022	2	mixed	1	SmallFam	0	2	2	SixItems	6
3	2009	2	mixed	1	BigFam	0	2	1	SixItems	6
3	2995	2	mixed	1	SmallFam	0	2	2	SixItems	6
3	4020	1	uniform	1	SmallFam	0	1	2	SixItems	6
3	1447	1	uniform	1	BigFam	0	1	1	SixItems	6
3	2410	1	uniform	1	BigFam	0	1	1	SixItems	6
3	1732	2	mixed	1	BigFam	0	2	1	SixItems	6
3	968	2	mixed	1	SmallFam	0	2	2	SixItems	6
3	1554	1	uniform	1	SmallFam	0	1	2	SixItems	6
3	1592	2	mixed	1	SmallFam	0	2	2	SixItems	6
3	1516	1	uniform	1	SmallFam	0	1	2	SixItems	6
3	2872	1	uniform	1	BigFam	0	1	1	SixItems	6
3	2317	2	mixed	1	BigFam	0	2	1	SixItems	6
3	3986	1	uniform	1	BigFam	0	1	1	SixItems	6
3	2459	2	mixed	1	BigFam	0	2	1	SixItems	6
3	1963	2	mixed	1	SmallFam	0	2	2	SixItems	6
3	2966	1	uniform	1	SmallFam	0	1	2	SixItems	6
3	2986	1	uniform	1	SmallFam	0	1	2	SixItems	6
3	2805	2	mixed	0	BigFam	0	2	1	SixItems	6
3	1673	2	mixed	1	SmallFam	0	2	2	SixItems	6
3	1851	1	uniform	1	BigFam	0	1	1	SixItems	6
3	1823	2	mixed	1	BigFam	0	2	1	SixItems	6
3	872	1	uniform	1	BigFam	0	1	1	SixItems	6
3	2215	2	mixed	0	SmallFam	0	2	2	SixItems	6
3	2861	1	uniform	1	SmallFam	0	1	2	SixItems	6
3	2456	2	mixed	0	BigFam	0	2	1	SixItems	6
3	3698	1	uniform	0	SmallFam	0	1	2	SixItems	6
3	1770	2	mixed	0	SmallFam	0	2	2	SixItems	6
3	1678	1	uniform	0	BigFam	0	1	1	SixItems	6
3	1181	2	mixed	1	BigFam	0	2	1	SixItems	6
3	3145	1	uniform	1	BigFam	0	1	1	SixItems	6
3	847	2	mixed	1	SmallFam	0	2	2	SixItems	6
3	3436	1	uniform	1	SmallFam	0	1	2	SixItems	6
3	972	1	uniform	1	BigFam	0	1	1	SixItems	6
3	3125	1	uniform	0	SmallFam	0	1	2	SixItems	6
3	2469	2	mixed	0	BigFam	0	2	1	SixItems	6
3	1993	2	mixed	1	SmallFam	0	2	2	SixItems	6
3	1437	2	mixed	1	BigFam	0	2	1	SixItems	6
3	1053	2	mixed	0	SmallFam	0	2	2	SixItems	6
3	1906	1	uniform	1	SmallFam	0	1	2	SixItems	6
3	1020	1	uniform	0	BigFam	0	1	1	SixItems	6
3	1942	2	mixed	0	BigFam	0	2	1	SixItems	6
3	1574	1	uniform	1	SmallFam	0	1	2	SixItems	6
3	1223	1	uniform	1	BigFam	0	1	1	SixItems	6
3	1248	2	mixed	1	SmallFam	0	2	2	SixItems	6
3	2127	1	uniform	1	SmallFam	0	1	2	SixItems	6
3	2405	2	mixed	0	BigFam	0	2	1	SixItems	6
3	955	2	mixed	0	SmallFam	0	2	2	SixItems	6
3	2065	1	uniform	1	BigFam	0	1	1	SixItems	6
4	2442	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
4	1411	2	mixed	1	BigFam	0	2	1	ThreeItems	3
4	2105	1	uniform	1	BigFam	0	1	1	ThreeItems	3
4	1466	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
4	1085	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
4	1572	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
4	1976	1	uniform	1	BigFam	0	1	1	ThreeItems	3
4	2142	2	mixed	1	BigFam	0	2	1	ThreeItems	3
4	1847	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
4	2493	1	uniform	1	BigFam	0	1	1	ThreeItems	3
4	1105	1	uniform	1	SmallFam	0	1	2	ThreeItems	3
4	2544	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1221	1	uniform	1	BigFam	0	1	1	SixItems	6
4	12646	2	mixed	0	SmallFam	0	2	2	SixItems	6
4	1436	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1444	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	2856	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	1465	1	uniform	1	BigFam	0	1	1	SixItems	6
4	1529	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	2511	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1409	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1466	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	1747	1	uniform	1	BigFam	0	1	1	SixItems	6
4	1209	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	1047	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	1230	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	3236	2	mixed	1	BigFam	0	2	1	SixItems	6
4	2051	1	uniform	1	BigFam	0	1	1	SixItems	6
4	1874	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	838	2	mixed	0	SmallFam	0	2	2	SixItems	6
4	1650	1	uniform	1	BigFam	0	1	1	SixItems	6
4	1950	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1437	1	uniform	1	BigFam	0	1	1	SixItems	6
4	2448	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	1568	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1512	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	1656	2	mixed	1	BigFam	0	2	1	SixItems	6
4	2359	1	uniform	0	SmallFam	0	1	2	SixItems	6
4	1155	1	uniform	1	BigFam	0	1	1	SixItems	6
4	938	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	1589	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1925	1	uniform	1	BigFam	0	1	1	SixItems	6
4	1733	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	1075	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	2392	1	uniform	1	BigFam	0	1	1	SixItems	6
4	10223	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	1204	2	mixed	1	BigFam	0	2	1	SixItems	6
4	2268	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	2452	1	uniform	0	BigFam	0	1	1	SixItems	6
4	2656	2	mixed	1	BigFam	0	2	1	SixItems	6
4	2733	1	uniform	0	SmallFam	0	1	2	SixItems	6
