sub	RT	correct	category	condition	conditionName	repeatDist	targetItem	conditionCheck	categoryNum	phase	test
2	1228	1	Animals	1	uniform	0	23.jpg	1	1	ThreeItems	3
2	1313	0	Objects	1	uniform	0	2.jpg	1	2	ThreeItems	3
2	1088	1	Objects	2	mixed	0	7.jpg	2	2	ThreeItems	3
2	887	1	Animals	1	uniform	0	24.jpg	1	1	ThreeItems	3
2	1306	0	Objects	2	mixed	0	15.jpg	2	2	ThreeItems	3
2	1087	0	Animals	2	mixed	0	2.jpg	2	1	ThreeItems	3
2	1532	0	Objects	1	uniform	0	17.jpg	1	2	ThreeItems	3
2	998	0	Objects	1	uniform	0	6.jpg	1	2	ThreeItems	3
2	1883	0	Animals	2	mixed	0	12.jpg	2	1	ThreeItems	3
2	2051	0	Animals	1	uniform	0	15.jpg	1	1	ThreeItems	3
2	1337	1	Objects	2	mixed	0	5.jpg	2	2	ThreeItems	3
2	3098	1	Objects	2	mixed	0	1.jpg	2	2	FourItems	4
2	6970	1	Animals	2	mixed	0	16.jpg	2	1	FourItems	4
2	1510	0	Objects	1	uniform	0	18.jpg	1	2	FourItems	4
2	1254	0	Animals	1	uniform	0	20.jpg	1	1	FourItems	4
2	1551	0	Objects	1	uniform	0	15.jpg	1	2	FourItems	4
2	1328	0	Objects	2	mixed	0	20.jpg	2	2	FourItems	4
2	906	1	Animals	1	uniform	0	7.jpg	1	1	FourItems	4
2	1598	1	Animals	2	mixed	0	11.jpg	2	1	FourItems	4
2	1659	1	Animals	1	uniform	0	14.jpg	1	1	FourItems	4
2	2682	0	Animals	2	mixed	0	18.jpg	2	1	SixItems	6
2	1591	1	Objects	2	mixed	0	8.jpg	2	2	SixItems	6
2	1289	1	Objects	1	uniform	0	14.jpg	1	2	SixItems	6
2	1253	1	Animals	2	mixed	0	13.jpg	2	1	SixItems	6
2	1543	1	Objects	1	uniform	0	4.jpg	1	2	SixItems	6
2	988	1	Objects	2	mixed	0	17.jpg	2	2	SixItems	6
2	2183	1	Animals	1	uniform	0	2.jpg	1	1	SixItems	6
2	1844	1	Objects	2	mixed	0	6.jpg	2	2	SixItems	6
2	2156	1	Animals	2	mixed	0	1.jpg	2	1	SixItems	6
2	1387	1	Objects	1	uniform	0	1.jpg	1	2	SixItems	6
2	2894	1	Animals	1	uniform	0	19.jpg	1	1	SixItems	6
2	1271	1	Objects	2	mixed	0	24.jpg	2	2	SixItems	6
2	1851	1	Animals	1	uniform	0	13.jpg	1	1	SixItems	6
2	1541	0	Animals	2	mixed	0	6.jpg	2	1	SixItems	6
2	3126	0	Objects	1	uniform	0	20.jpg	1	2	SixItems	6
2	1122	0	Objects	2	mixed	0	16.jpg	2	2	SixItems	6
2	921	1	Objects	1	uniform	0	7.jpg	1	2	SixItems	6
2	1257	1	Animals	1	uniform	0	11.jpg	1	1	SixItems	6
2	2648	0	Animals	2	mixed	0	23.jpg	2	1	SixItems	6
2	1171	0	Animals	2	mixed	0	19.jpg	2	1	SixItems	6
2	5329	0	Animals	1	uniform	0	16.jpg	1	1	SixItems	6
2	2592	1	Objects	1	uniform	0	3.jpg	1	2	SixItems	6
2	1325	1	Objects	2	mixed	0	19.jpg	2	2	SixItems	6
2	3811	1	Animals	1	uniform	0	1.jpg	1	1	SixItems	6
2	1088	1	Objects	1	uniform	0	11.jpg	1	2	SixItems	6
2	3270	0	Objects	2	mixed	0	13.jpg	2	2	SixItems	6
2	2110	0	Animals	2	mixed	0	17.jpg	2	1	SixItems	6
2	1504	1	Animals	1	uniform	0	22.jpg	1	1	SixItems	6
2	1596	1	Objects	1	uniform	0	5.jpg	1	2	SixItems	6
2	1155	0	Objects	2	mixed	0	9.jpg	2	2	SixItems	6
2	1219	1	Animals	2	mixed	0	24.jpg	2	1	SixItems	6
2	2022	1	Objects	1	uniform	0	12.jpg	1	2	SixItems	6
2	4006	1	Animals	2	mixed	0	5.jpg	2	1	SixItems	6
2	2767	0	Objects	2	mixed	0	11.jpg	2	2	SixItems	6
2	1731	1	Animals	1	uniform	0	17.jpg	1	1	SixItems	6
2	1312	1	Animals	1	uniform	0	12.jpg	1	1	SixItems	6
2	2016	0	Objects	2	mixed	0	10.jpg	2	2	SixItems	6
2	2484	0	Animals	2	mixed	0	22.jpg	2	1	SixItems	6
2	2917	0	Objects	1	uniform	0	24.jpg	1	2	SixItems	6
2	1870	0	Objects	2	mixed	0	14.jpg	2	2	SixItems	6
2	1680	0	Objects	1	uniform	0	13.jpg	1	2	SixItems	6
2	3471	0	Animals	1	uniform	0	18.jpg	1	1	SixItems	6
2	2010	1	Animals	2	mixed	0	9.jpg	2	1	SixItems	6
2	1979	0	Objects	1	uniform	0	10.jpg	1	2	SixItems	6
3	5122	1	Animals	2	mixed	0	10.jpg	2	1	ThreeItems	3
3	2148	1	Animals	1	uniform	0	23.jpg	1	1	ThreeItems	3
3	1731	1	Objects	2	mixed	0	10.jpg	2	2	ThreeItems	3
3	1460	1	Objects	1	uniform	0	18.jpg	1	2	ThreeItems	3
3	1240	1	Animals	1	uniform	0	16.jpg	1	1	ThreeItems	3
3	1898	1	Objects	2	mixed	0	22.jpg	2	2	ThreeItems	3
3	1342	1	Animals	2	mixed	0	8.jpg	2	1	ThreeItems	3
3	1589	1	Objects	2	mixed	0	12.jpg	2	2	ThreeItems	3
3	1796	1	Animals	1	uniform	0	7.jpg	1	1	ThreeItems	3
3	1647	1	Animals	2	mixed	0	9.jpg	2	1	ThreeItems	3
3	1005	1	Objects	1	uniform	0	14.jpg	1	2	FourItems	4
3	2452	1	Objects	1	uniform	0	2.jpg	1	2	FourItems	4
3	1968	1	Animals	1	uniform	0	6.jpg	1	1	FourItems	4
3	1530	1	Animals	2	mixed	0	20.jpg	2	1	FourItems	4
3	3269	1	Objects	2	mixed	0	1.jpg	2	2	FourItems	4
3	1638	1	Animals	2	mixed	0	13.jpg	2	1	SixItems	6
3	3895	1	Objects	1	uniform	0	8.jpg	1	2	SixItems	6
3	17218	0	Animals	1	uniform	0	10.jpg	1	1	SixItems	6
3	5762	0	Objects	2	mixed	0	14.jpg	2	2	SixItems	6
3	3666	0	Objects	1	uniform	0	7.jpg	1	2	SixItems	6
3	3677	0	Animals	1	uniform	0	9.jpg	1	1	SixItems	6
3	9140	0	Objects	2	mixed	0	7.jpg	2	2	SixItems	6
3	2626	0	Animals	2	mixed	0	15.jpg	2	1	SixItems	6
3	11192	0	Objects	1	uniform	0	13.jpg	1	2	SixItems	6
3	4002	0	Objects	2	mixed	0	18.jpg	2	2	SixItems	6
3	2409	0	Animals	1	uniform	0	4.jpg	1	1	SixItems	6
3	3758	0	Animals	2	mixed	0	17.jpg	2	1	SixItems	6
3	6532	0	Animals	2	mixed	0	23.jpg	2	1	SixItems	6
3	5700	0	Objects	2	mixed	0	8.jpg	2	2	SixItems	6
3	1856	0	Objects	1	uniform	0	5.jpg	1	2	SixItems	6
3	2798	1	Animals	1	uniform	0	2.jpg	1	1	SixItems	6
3	1980	1	Animals	1	uniform	0	13.jpg	1	1	SixItems	6
3	4437	1	Objects	2	mixed	0	6.jpg	2	2	SixItems	6
3	1214	1	Animals	2	mixed	0	24.jpg	2	1	SixItems	6
3	855	1	Objects	1	uniform	0	22.jpg	1	2	SixItems	6
3	3168	1	Objects	1	uniform	0	3.jpg	1	2	SixItems	6
3	1797	1	Animals	1	uniform	0	12.jpg	1	1	SixItems	6
3	2977	1	Objects	2	mixed	0	20.jpg	2	2	SixItems	6
3	1965	1	Animals	2	mixed	0	18.jpg	2	1	SixItems	6
3	1838	1	Animals	2	mixed	0	19.jpg	2	1	SixItems	6
3	1230	1	Objects	2	mixed	0	19.jpg	2	2	SixItems	6
3	4621	1	Objects	1	uniform	0	17.jpg	1	2	SixItems	6
3	3426	0	Animals	1	uniform	0	17.jpg	1	1	SixItems	6
3	2925	1	Animals	2	mixed	0	12.jpg	2	1	SixItems	6
3	1753	1	Objects	2	mixed	0	23.jpg	2	2	SixItems	6
3	10467	0	Animals	1	uniform	0	22.jpg	1	1	SixItems	6
3	2918	1	Objects	1	uniform	0	9.jpg	1	2	SixItems	6
3	2327	1	Objects	2	mixed	0	16.jpg	2	2	SixItems	6
3	4858	1	Animals	1	uniform	0	8.jpg	1	1	SixItems	6
3	3144	1	Objects	1	uniform	0	19.jpg	1	2	SixItems	6
3	1237	1	Animals	2	mixed	0	14.jpg	2	1	SixItems	6
3	7283	1	Objects	1	uniform	0	23.jpg	1	2	SixItems	6
3	2572	1	Animals	2	mixed	0	3.jpg	2	1	SixItems	6
3	4424	0	Animals	1	uniform	0	20.jpg	1	1	SixItems	6
3	2890	0	Objects	2	mixed	0	2.jpg	2	2	SixItems	6
3	4377	1	Objects	2	mixed	0	24.jpg	2	2	SixItems	6
3	3979	1	Animals	2	mixed	0	11.jpg	2	1	SixItems	6
3	1098	1	Animals	1	uniform	0	5.jpg	1	1	SixItems	6
3	21801	0	Objects	1	uniform	0	15.jpg	1	2	SixItems	6
3	3501	0	Animals	1	uniform	0	24.jpg	1	1	SixItems	6
3	4415	0	Animals	2	mixed	0	5.jpg	2	1	SixItems	6
3	2099	1	Objects	1	uniform	0	21.jpg	1	2	SixItems	6
3	2667	1	Objects	2	mixed	0	11.jpg	2	2	SixItems	6
3	3306	1	Objects	1	uniform	0	20.jpg	1	2	SixItems	6
3	8171	0	Objects	2	mixed	0	5.jpg	2	2	SixItems	6
3	22655	1	Animals	2	mixed	0	2.jpg	2	1	SixItems	6
3	3511	1	Animals	1	uniform	0	3.jpg	1	1	SixItems	6
3	4474	0	Objects	2	mixed	0	17.jpg	2	2	SixItems	6
3	70	0	Animals	1	uniform	0	19.jpg	1	1	SixItems	6
3	3457	1	Objects	1	uniform	0	16.jpg	1	2	SixItems	6
3	3297	1	Animals	2	mixed	0	4.jpg	2	1	SixItems	6
3	11777	1	Animals	1	uniform	0	11.jpg	1	1	SixItems	6
3	1703	1	Animals	2	mixed	0	22.jpg	2	1	SixItems	6
4	4852	1	Objects	2	mixed	0	20.jpg	2	2	ThreeItems	3
4	1353	1	Objects	1	uniform	0	21.jpg	1	2	ThreeItems	3
4	1213	1	Animals	2	mixed	0	10.jpg	2	1	ThreeItems	3
4	1106	1	Animals	1	uniform	0	19.jpg	1	1	ThreeItems	3
4	1724	1	Objects	2	mixed	0	11.jpg	2	2	ThreeItems	3
4	1137	1	Animals	2	mixed	0	4.jpg	2	1	ThreeItems	3
4	1219	1	Objects	1	uniform	0	12.jpg	1	2	ThreeItems	3
4	1430	1	Animals	2	mixed	0	16.jpg	2	1	ThreeItems	3
4	838	1	Objects	1	uniform	0	15.jpg	1	2	ThreeItems	3
4	1710	1	Objects	2	mixed	0	6.jpg	2	2	ThreeItems	3
4	1469	1	Animals	1	uniform	0	4.jpg	1	1	FourItems	4
4	1203	1	Objects	2	mixed	0	13.jpg	2	2	FourItems	4
4	788	1	Animals	1	uniform	0	21.jpg	1	1	FourItems	4
4	1414	1	Animals	2	mixed	0	23.jpg	2	1	FourItems	4
4	1413	1	Objects	1	uniform	0	14.jpg	1	2	FourItems	4
4	1068	1	Animals	1	uniform	0	14.jpg	1	1	SixItems	6
4	988	1	Objects	1	uniform	0	11.jpg	1	2	SixItems	6
4	1625	1	Objects	2	mixed	0	10.jpg	2	2	SixItems	6
4	1820	0	Animals	2	mixed	0	20.jpg	2	1	SixItems	6
4	2185	1	Objects	2	mixed	0	1.jpg	2	2	SixItems	6
4	4332	1	Animals	1	uniform	0	6.jpg	1	1	SixItems	6
4	987	1	Animals	2	mixed	0	9.jpg	2	1	SixItems	6
4	820	1	Objects	1	uniform	0	4.jpg	1	2	SixItems	6
4	1201	1	Animals	2	mixed	0	17.jpg	2	1	SixItems	6
4	855	1	Animals	1	uniform	0	24.jpg	1	1	SixItems	6
4	1297	1	Objects	2	mixed	0	22.jpg	2	2	SixItems	6
4	2365	1	Objects	1	uniform	0	20.jpg	1	2	SixItems	6
4	2272	1	Animals	1	uniform	0	10.jpg	1	1	SixItems	6
4	1241	1	Objects	1	uniform	0	13.jpg	1	2	SixItems	6
5	3507	0	Objects	2	mixed	0	23.jpg	2	2	ThreeItems	3
5	1649	0	Animals	1	uniform	0	16.jpg	1	1	ThreeItems	3
5	5219	0	Animals	2	mixed	0	11.jpg	2	1	ThreeItems	3
5	2565	1	Objects	1	uniform	0	8.jpg	1	2	ThreeItems	3
5	1187	1	Objects	2	mixed	0	16.jpg	2	2	ThreeItems	3
5	1571	1	Animals	1	uniform	0	3.jpg	1	1	ThreeItems	3
5	1202	1	Animals	2	mixed	0	23.jpg	2	1	ThreeItems	3
5	1592	1	Objects	1	uniform	0	3.jpg	1	2	ThreeItems	3
5	1037	1	Objects	2	mixed	0	6.jpg	2	2	ThreeItems	3
5	905	1	Animals	2	mixed	0	13.jpg	2	1	ThreeItems	3
5	1006	1	Animals	1	uniform	0	7.jpg	1	1	ThreeItems	3
5	1162	1	Objects	1	uniform	0	21.jpg	1	2	ThreeItems	3
5	1155	1	Animals	2	mixed	0	10.jpg	2	1	ThreeItems	3
5	1710	1	Objects	2	mixed	0	8.jpg	2	2	FourItems	4
5	1626	1	Animals	1	uniform	0	5.jpg	1	1	FourItems	4
5	1336	1	Animals	2	mixed	0	21.jpg	2	1	FourItems	4
5	2396	1	Objects	1	uniform	0	10.jpg	1	2	FourItems	4
5	1372	1	Animals	1	uniform	0	12.jpg	1	1	FourItems	4
5	1307	1	Objects	2	mixed	0	21.jpg	2	2	SixItems	6
5	2000	1	Animals	1	uniform	0	14.jpg	1	1	SixItems	6
5	1229	0	Animals	2	mixed	0	19.jpg	2	1	SixItems	6
5	3493	0	Objects	1	uniform	0	17.jpg	1	2	SixItems	6
5	3160	0	Objects	2	mixed	0	2.jpg	2	2	SixItems	6
6	10185	1	Objects	2	mixed	0	3.jpg	2	2	ThreeItems	3
6	4771	1	Objects	1	uniform	0	7.jpg	1	2	ThreeItems	3
6	1346	1	Animals	2	mixed	0	2.jpg	2	1	ThreeItems	3
6	2394	1	Objects	2	mixed	0	16.jpg	2	2	ThreeItems	3
6	2441	0	Animals	1	uniform	0	12.jpg	1	1	ThreeItems	3
6	2707	1	Objects	1	uniform	0	6.jpg	1	2	ThreeItems	3
6	2047	1	Animals	2	mixed	0	24.jpg	2	1	ThreeItems	3
6	1392	1	Objects	1	uniform	0	3.jpg	1	2	ThreeItems	3
6	1786	1	Animals	1	uniform	0	5.jpg	1	1	ThreeItems	3
6	3965	1	Animals	2	mixed	0	1.jpg	2	1	ThreeItems	3
6	870	0	Objects	2	mixed	0	13.jpg	2	2	ThreeItems	3
6	4568	1	Objects	2	mixed	0	14.jpg	2	2	ThreeItems	3
6	1459	1	Objects	1	uniform	0	21.jpg	1	2	FourItems	4
6	1336	1	Animals	2	mixed	0	11.jpg	2	1	FourItems	4
